chroma_stft,spectral_centroid,spectral_bandwidth,spectral_rolloff,rms,zero_crossing_rate,class,type
0.4920229,1008.306897,1307.778275,2056.085264,0.010265867,0.056835625,0,fan
0.29005384,1525.724574,1829.778919,3333.890775,0.009034283,0.091764115,0,fan
0.5444181,1162.260749,1450.298114,2492.0627,0.010190455,0.066886731,0,fan
0.254849,1589.277301,1862.40787,3592.676717,0.008920734,0.100637418,0,fan
0.58636636,1021.048914,1428.979775,2240.565096,0.010546207,0.048528604,0,fan
0.3431216,1458.415276,1796.744673,3039.16234,0.008978762,0.095539325,0,fan
0.6110892,1073.727114,1464.784845,2199.455871,0.009914098,0.055907423,0,fan
0.62578154,1407.627949,1802.815909,3313.947684,0.010186992,0.069596458,0,fan
0.5431488,1115.726066,1281.953233,2138.079073,0.008653525,0.082285531,0,fan
0.33104765,1448.460585,1810.530549,2982.502995,0.008867287,0.092792158,0,fan
0.28363097,1440.696492,1761.25102,2901.582468,0.00872855,0.100336337,0,fan
0.5230954,971.0530641,1431.432166,1984.824281,0.009925713,0.046758,0,fan
0.58073515,1130.012871,1428.554567,2286.841054,0.010160492,0.071529303,0,fan
0.4986211,1079.828349,1390.233689,2263.029153,0.010274563,0.059690433,0,fan
0.59491706,2430.018981,2433.693062,5636.85603,0.008158297,0.146893096,0,fan
0.30562234,1395.600608,1751.911513,2795.776757,0.007819009,0.090849953,0,fan
0.24659935,1541.869284,1892.612554,3543.355631,0.009842144,0.092494197,0,fan
0.28349134,1438.087609,1818.717782,3119.958067,0.009227657,0.091127633,0,fan
0.64973414,1569.968959,1591.926296,3264.926118,0.00914437,0.119758387,0,fan
0.6023999,1058.564374,1440.218077,2124.076478,0.009897905,0.057319227,0,fan
0.30302882,1421.284842,1797.167934,3024.485823,0.009811915,0.08575342,0,fan
0.6835829,1250.112589,1658.954385,2768.345647,0.01064377,0.03503769,0,fan
0.60998976,1202.382036,1519.789651,2480.680911,0.009473523,0.069844499,0,fan
0.56065387,1159.150041,1458.002532,2485.048922,0.010154082,0.065543568,0,fan
0.27449545,1399.988678,1782.848432,2902.40615,0.009210723,0.086244821,0,fan
0.23214525,1465.388021,1877.066725,3328.823882,0.010059568,0.085549059,0,fan
0.28895813,1300.342061,1696.416536,2503.344649,0.010016935,0.08184873,0,fan
0.5753698,1051.892601,1335.662418,2162.390176,0.010192274,0.062074119,0,fan
0.25630158,1386.451016,1766.547022,2809.479832,0.009260679,0.086962423,0,fan
0.6051254,1348.641473,1545.32346,2904.253195,0.009476276,0.087850065,0,fan
0.2780472,1407.794598,1786.532685,2859.924121,0.008975038,0.08980943,0,fan
0.32397383,1392.53773,1737.254916,2775.234625,0.009118147,0.092228996,0,fan
0.59099334,1081.184697,1390.256669,2266.199081,0.010439036,0.061602998,0,fan
0.37195253,1544.769884,2057.51781,4317.192492,0.009528204,0.069184617,0,fan
0.4787169,2031.011405,1988.714336,4335.513179,0.009078881,0.150211225,0,fan
0.34337023,1442.547191,1793.766702,3148.961661,0.009230127,0.088697147,0,fan
0.31266314,1406.91885,1779.57016,2903.579273,0.008862081,0.089424109,0,fan
0.3630458,1484.238081,1834.029003,3185.278554,0.009255596,0.092349116,0,fan
0.5549456,994.2843704,1256.851889,1955.870607,0.01015147,0.061673198,0,fan
0.60029274,827.6047675,1216.545068,1650.609026,0.010378107,0.039948582,0,fan
0.58506036,800.5975502,1252.81981,1515.72484,0.01025045,0.035435491,0,fan
0.6411074,1288.331842,1672.316429,2828.07508,0.009928254,0.064729246,0,fan
